Name,Male,Male2,Female,Main
Панкратій,Панкратійович,, Панкратіївна,Панкрат
Панкрат,Панкратович,, Панкратівна,
Пантелеймон,Пантелеймонович,, Пантелеймонівна,
Пантелемон,Пантелемонович,, Пантелемонівна,Пантелеймон
Пантелій,Пантелійович,, Пантеліївна,Пантелеймон
Панфіл,Панфілович,, Панфілівна,Памфіл
Парамон,Парамонович,, Парамонівна,
Пармен,Парменович,, Парменівна,
Парфеній,Парфенійович,, Парфеніївна,Парфен
Парфен,Парфенович,, Парфенівна,
Парфентій,Парфентійович,, Парфентіївна,Парфен
Пархом,Пархомович,, Пархомівна,Парфен
Пахом,Пахомович,, Пахомівна,
Петро,Петрович,, Петрівна,
Пилип,Пилипович,, Пилипівна,
Пимін,Пимонович,, Пимонівна,
Пимон,Пимонович,, Пимонівна,
Платон,Платонович,, Платонівна,
Полієвкт,Полієвктович,, Полієвктівна,
Полікарп,Полікарпович,, Полікарпівна,
Помпей,Помпейович,, Помпеївна,
Понтій,Понтійович,, Понтіївна,
Порфирій,Порфирійович,, Порфиріївна,Порфир
Порфир,Порфирович,, Порфирівна,
Потап,Потапович,, Потапівна,
Пров,Провович,, Провівна,
Прокопій,Прокопійович,, Прокопіївна,Прокіп
Прокіп,Прокопович,, Прокопівна,
Протасій,Протасійович,, Протасіївна,Протас
Протас,Протасович,, Протасівна,
Прохор,Прохорович,, Прохорівна,
Птолемей,Птолемейович,, Птолемеївна,
Радим,Радимович,, Радимівна,
Радислав,Радиславович,, Радиславівна,
Радій,Радійович,, Радіївна,
Радомир,Радомирович,, Радомирівна,
Раймонд,Раймондович,, Раймондівна,
Ратмир,Ратмирович,, Ратмирівна,
Рафаїл,Рафаїлович,, Рафаїлівна,
Рейнгольд,Рейнгольдович,, Рейнгольдівна,
Роберт,Робертович,, Робертівна,
Рогволод,Рогволодович,, Рогволодівна,
Родіон,Родіонович,, Родіонівна,
Роланд,Роландович,, Роландівна,
Ролан,Роланович,, Роланівна,Роланд
Роман,Романович,, Романівна,
Ростислав,Ростиславович,, Ростиславівна,
Рубен,Рубенович,, Рубенівна,
Рудольф,Рудольфович,, Рудольфівна,
Руслан,Русланович,, Русланівна,
Саватій,Саватійович,, Саватіївна,
Савелій,Савелійович,, Савеліївна,
Саверій,Саверійович,, Саверіївна,
Савка,Савкович,, Савківна,Сава
Сава,Савович,, Савівна,
Саливон,Саливонович,, Саливонівна,
Самійло,Самійлович,, Самійлівна,
Самсон,Самсонович,, Самсонівна,
Сафат,Сафатович,, Сафатівна,
Свирид,Свиридович,, Свиридівна,
Свиридон,Свиридонович,, Свиридонівна,Свирид
Світлан,Світланович,, Світланівна,
Світозар,Світозарович,, Світозарівна,
Святогор,Святогорович,, Святогорівна,
Святополк,Святополкович,, Святополківна,
Святослав,Святославович,, Святославівна,
Себастіан,Себастіанович,, Себастіанівна,Севастян
Севастіан,Севастіанович,, Севастіанівна,Севастян
Севастян,Севастянович,, Севастянівна,
Северин,Северинович,, Северинівна,
Северіан,Северіанович,, Северіанівна,Север'ян
Север'ян,Север'янович,, Север'янівна,
Сезон,Сезонович,, Сезонівна,Созонт
Селіфан,Селіфанович,, Селіфанівна,
Семен,Семенович,, Семенівна,
Серапіон,Серапіонович,, Серапіонівна,
Серафим,Серафимович,, Серафимівна,
Сергій,Сергійович,, Сергіївна,
Сигізмунд,Сигізмундович,, Сигізмундівна,
Сидір,Сидорович,, Сидорівна,
Силантій,Силантійович,, Силантіївна,
Сила,Силович,, Силівна,
Сильвестр,Сильвестрович,, Сильвестрівна,
Симон,Симонович,, Симонівна,
Сисой,Сисойович,, Сисоївна,
Славмир,Славмирович,, Славмирівна,
Славомир,Славомирович,, Славомирівна,Славмир
Созон,Созонович,, Созонівна,Созонт
Созонт,Созонтович,, Созонтівна,
Соломон,Соломонович,, Соломонівна,
Сопрон,Сопронович,, Сопронівна,Софрон
Софон,Софонович,, Софонівна,
Софрон,Софронович,, Софронівна,
Спартак,Спартакович,, Спартаківна,
Спиридон,Спиридонович,, Спиридонівна,Свирид
Станіслав,Станіславович,, Станіславівна,
Стас,Стасевич,, Стасівна,Станіслав
Стасій,Стасійович,, Стасіївна,Станіслав
Стахій,Стахійович,, Стахіївна,Остап
